vin,avg_battery,battery_std,min_battery,max_battery,total_records,avg_latitude,avg_longitude
MD9EMHDL23B217210,99.54,0.0,99.54,99.54,4,12.96,80.13
MD9EMHDL23B217211,82.09,8.71,29.78,85.63,93,12.94,80.2
MD9EMHDL23B217224,88.34,14.7,55.15,100.0,139,12.92,80.14
MD9EMHDL23B217238,90.44,0.0,90.44,90.44,4,13.04,80.13
MD9EMHDL23B217245,78.45,20.68,15.54,99.04,153,12.93,77.56
MD9EMHDL23B217261,51.82,0.0,51.82,51.82,4,12.94,77.37
MD9EMHDL23C217005,72.15,19.95,34.88,100.0,161,12.93,77.51
MD9EMHDL23C217006,44.22,0.0,44.22,44.22,4,12.7,77.74
MD9EMHDL23C217007,89.81,7.79,69.54,95.64,92,13.08,77.64
MD9EMHDL23C217011,61.23,0.0,61.23,61.23,4,28.66,77.22
MD9EMHDL23C217018,87.13,17.13,37.93,100.0,179,28.67,77.1
MD9EMHDL23C217032,89.4,5.3,86.76,100.0,166,28.62,77.34
MD9EMHDL23C217034,79.66,21.14,41.71,100.0,155,28.61,77.1
MD9EMHDL23C217037,72.34,18.69,18.55,98.8,144,13.0,80.21
MD9EMHDL23C217042,69.82,14.99,29.21,97.15,146,28.73,77.0
MD9EMHDL23C217062,59.7,23.89,27.73,90.35,137,28.66,77.27
MD9EMHDL23C217065,96.73,0.71,95.1,97.36,124,12.96,77.58
MD9EMHDL23C217071,87.28,12.92,48.21,100.0,49,12.95,80.21
MD9EMHDL23C217077,70.78,0.0,70.78,70.78,4,26.57,81.99
MD9EMHDL23C217078,90.48,13.63,62.34,97.39,152,28.67,77.17
MD9EMHDL23C217082,82.19,23.72,2.55,100.0,151,28.6,77.3
MD9EMHDL23C217092,93.36,12.57,54.25,100.0,151,28.54,77.29
MD9EMHDL23C217099,78.67,18.23,40.83,100.0,162,12.8,77.47
MD9EMHDL23C217110,90.67,14.14,30.53,100.0,128,28.73,77.12
MD9EMHDL23C217129,63.04,0.0,63.04,63.04,4,28.53,77.28
MD9EMHDL23C217143,88.76,0.0,88.76,88.76,4,28.68,77.03
MD9EMHDL23C217144,86.68,17.58,24.25,100.0,153,28.5,77.29
MD9EMHDL23C217152,78.48,21.0,41.43,100.0,137,28.54,77.13
MD9EMHDL23C217157,92.94,10.45,61.46,100.0,143,28.48,77.01
MD9EMHDL23C217163,85.08,18.22,17.61,100.0,191,28.56,77.03
MD9EMHDL23C217181,83.99,18.58,29.49,100.0,170,28.49,77.26
MD9EMHDL23C217182,81.35,17.16,31.62,100.0,154,28.74,77.16
MD9EMHDL23C217184,74.46,0.0,74.46,74.46,4,28.53,77.29
MD9EMHDL23C217192,77.06,20.72,16.0,100.0,153,28.6,77.25
MD9EMHDL23C217198,72.13,30.94,0.0,100.0,145,28.68,77.17
MD9EMHDL23C217203,80.41,0.0,80.41,80.41,4,19.22,73.17
MD9EMHDL23C217204,87.32,24.84,5.06,100.0,102,28.78,77.08
MD9EMHDL23C217209,78.07,22.88,27.55,100.0,160,28.6,77.08
MD9EMHDL23C217210,65.99,31.0,7.38,99.58,150,28.43,77.28
MD9EMHDL23C217214,77.69,22.6,26.23,100.0,35,28.52,77.04
MD9EMHDL23C217215,88.4,15.46,39.32,100.0,156,28.62,77.06
MD9EMHDL23C217223,85.24,16.4,1.2,100.0,161,28.47,77.04
MD9EMHDL23C217229,95.37,5.87,84.05,100.0,169,12.93,80.11
MD9EMHDL23C217232,79.21,20.54,9.74,97.88,156,13.24,77.7
MD9EMHDL23C217233,98.94,0.0,98.94,98.94,4,28.67,77.17
MD9EMHDL23C217234,78.62,2.84,75.51,88.34,45,28.75,77.15
MD9EMHDL23C217239,45.57,13.29,21.02,68.85,42,18.81,73.78
MD9EMHDL23C217241,66.66,26.7,18.84,100.0,153,13.06,80.19
MD9EMHDL23C217250,79.43,20.4,32.41,99.63,142,13.02,80.21
MD9EMHDL23C217255,68.45,0.12,68.36,68.6,111,13.02,77.53
MD9EMHDL23C217257,96.29,2.97,86.34,100.0,77,12.97,80.13
MD9EMHDL23C217259,71.8,16.46,50.36,100.0,160,13.06,80.25
MD9EMHDL23C217279,67.71,18.29,12.51,100.0,161,13.01,77.64
MD9EMHDL23C217280,81.17,21.96,1.82,100.0,164,12.97,80.2
MD9EMHDL23C217282,67.49,2.16,64.54,69.63,118,12.67,80.09
MD9EMHDL23C217290,97.17,0.1,97.07,97.38,105,12.84,80.05
MD9EMHDL23C217301,95.8,0.0,95.8,95.8,4,13.07,80.19
MD9EMHDL23D217051,51.97,0.0,51.97,51.97,4,28.38,76.94
MD9EMHDL23D217069,80.8,20.23,18.08,100.0,150,28.37,77.05
MD9EMHDL23D217074,87.59,19.85,7.3,100.0,155,28.62,77.32
MD9EMHDL23D217084,56.09,0.0,56.09,56.09,4,13.02,77.61
MD9EMHDL23D217101,98.3,0.11,98.25,98.84,110,12.91,80.1
MD9EMHDL23D217103,66.84,0.0,66.84,66.84,4,28.72,77.18
